iter,layer,candidate_rank,candidate_stage,destroy_operator,repair_operator,fallback_used,projection_mode,projection_repaired_subtask_count,F_raw,F_cal,duplicate_tote_count,duplicate_tote_penalty,candidate_signature,selected_for_sa
31,Z,3,rough,z_destroy_noise_window,z_repair_mode_toggle_contextual,False,,0,798.5621974661425,798.5621974661425,0,0.0,"('Z', 'z_destroy_noise_window', ((2, (0, 1)),), 'z_repair_mode_toggle_contextual', (389, 1556), ('SORT',))",False
33,Y,3,rough,y_destroy_cross_station_fragment,y_repair_load_balance,False,,0,804.7875947382693,804.7875947382693,0,0.0,"('Y', 'y_destroy_cross_station_fragment', ((4, 0, 1), (5, 3, 1)), 'y_repair_load_balance', ((4, 1, 2), (5, 0, 1)))",False
33,Y,1,rough,y_destroy_max_tardiness_blocker,y_repair_earliest_finish,False,,0,788.1978482139365,788.1978482139365,0,0.0,"('Y', 'y_destroy_max_tardiness_blocker', ((0, 0, 0), (4, 0, 1)), 'y_repair_earliest_finish', ((0, 0, 0), (4, 1, 2)))",False
33,Y,2,rough,y_destroy_rank_window_release,y_repair_load_balance,False,,0,788.1978482139365,788.1978482139365,0,0.0,"('Y', 'y_destroy_rank_window_release', ((0, 0, 0), (4, 0, 1)), 'y_repair_load_balance', ((0, 0, 0), (4, 1, 2)))",False
33,Y,1,exact,y_destroy_max_tardiness_blocker,y_repair_earliest_finish,False,,0,805.4776103101792,805.4776103101792,0,0.0,"((0, (0, ('0:13:0', '0:14:0', '0:3:0'), 0, 0, ((509, 'SORT', (105, 108), (0, 1)), (2655, 'FLIP', (79,), None)))), (1, (1, ('1:12:0', '1:2:0', '1:3:0', '1:4:0', '1:5:0'), 1, 0, ((509, 'SORT', (106, 107), (1, 2)),))), (2, (2, ('2:0:0', '2:11:0', '2:28:0', '2:33:0', '2:3:0'), 2, 0, ((389, 'SORT', (49, 50, 51), (4, 6)), (1556, 'FLIP', (65,), None)))), (3, (3, ('3:2:0', '3:33:0', '3:35:0', '3:4:0'), 3, 0, ((2862, 'FLIP', (23, 30), None), (523, 'FLIP', (19,), None)))), (4, (4, ('4:0:0', '4:19:0', '4:1:0', '4:4:0', '4:6:0', '4:7:0'), 1, 2, ((358, 'FLIP', (120, 125), None), (1853, 'FLIP', (132,), None)))), (5, (4, ('4:24:0', '4:29:0'), 3, 1, ((1958, 'FLIP', (38,), None), (2603, 'FLIP', (3,), None)))), (6, (5, ('5:27:0', '5:3:0', '5:5:0'), 1, 1, ((1350, 'FLIP', (87, 95), None),))))",True
34,Z,3,rough,z_destroy_noise_window,z_repair_bounded_detour_window,False,,0,790.2588641328092,790.2588641328092,0,0.0,"('Z', 'z_destroy_noise_window', ((1, (7,)), (2, (0, 1))), 'z_repair_bounded_detour_window', (509, 1495, 389, 1556), ('SORT', 'SORT'))",False
34,Z,1,rough,z_destroy_detour_window,z_repair_same_stack_window,False,,0,780.0121974661425,780.0121974661425,0,0.0,"('Z', 'z_destroy_detour_window', ((0, (8, 9)),), 'z_repair_same_stack_window', (509, 2655), ('SORT',))",False
34,Z,2,rough,z_destroy_noise_window,z_repair_bounded_detour_window,False,,0,780.0121974661425,780.0121974661425,0,0.0,"('Z', 'z_destroy_noise_window', ((0, (8, 9)),), 'z_repair_bounded_detour_window', (509, 2655), ('SORT',))",False
35,Y,2,rough,y_destroy_rank_window_release,y_repair_regret2_station,False,,0,788.1978482139365,788.1978482139365,0,0.0,"('Y', 'y_destroy_rank_window_release', ((0, 0, 0), (4, 0, 1)), 'y_repair_regret2_station', ((0, 0, 0), (4, 1, 2)))",False
35,Y,1,rough,y_destroy_initial_idle_head,y_repair_earliest_finish,False,,0,788.1978482139365,788.1978482139365,0,0.0,"('Y', 'y_destroy_initial_idle_head', ((0, 0, 0), (4, 0, 1)), 'y_repair_earliest_finish', ((0, 0, 0), (4, 1, 2)))",False
35,Y,3,rough,y_destroy_rank_window_release,y_repair_regret2_station,False,,0,839.0778482139365,839.0778482139365,0,0.0,"('Y', 'y_destroy_rank_window_release', ((1, 1, 0), (6, 1, 1)), 'y_repair_regret2_station', ((1, 0, 2), (6, 1, 0)))",False
35,Y,1,exact,y_destroy_initial_idle_head,y_repair_earliest_finish,False,,0,805.4776103101792,805.4776103101792,0,0.0,"((0, (0, ('0:13:0', '0:14:0', '0:3:0'), 0, 0, ((509, 'SORT', (105, 108), (0, 1)), (2655, 'FLIP', (79,), None)))), (1, (1, ('1:12:0', '1:2:0', '1:3:0', '1:4:0', '1:5:0'), 1, 0, ((509, 'SORT', (106, 107), (1, 2)),))), (2, (2, ('2:0:0', '2:11:0', '2:28:0', '2:33:0', '2:3:0'), 2, 0, ((389, 'SORT', (49, 50, 51), (4, 6)), (1556, 'FLIP', (65,), None)))), (3, (3, ('3:2:0', '3:33:0', '3:35:0', '3:4:0'), 3, 0, ((2862, 'FLIP', (23, 30), None), (523, 'FLIP', (19,), None)))), (4, (4, ('4:0:0', '4:19:0', '4:1:0', '4:4:0', '4:6:0', '4:7:0'), 1, 2, ((358, 'FLIP', (120, 125), None), (1853, 'FLIP', (132,), None)))), (5, (4, ('4:24:0', '4:29:0'), 3, 1, ((1958, 'FLIP', (38,), None), (2603, 'FLIP', (3,), None)))), (6, (5, ('5:27:0', '5:3:0', '5:5:0'), 1, 1, ((1350, 'FLIP', (87, 95), None),))))",True
36,Z,2,rough,z_destroy_noise_window,z_repair_same_stack_window,False,,0,780.0121974661425,780.0121974661425,0,0.0,"('Z', 'z_destroy_noise_window', ((0, (8, 9)),), 'z_repair_same_stack_window', (509, 2655), ('SORT',))",False
36,Z,3,rough,z_destroy_noise_window,z_repair_bounded_detour_window,False,,0,798.5621974661425,798.5621974661425,0,0.0,"('Z', 'z_destroy_noise_window', ((2, (0, 1)),), 'z_repair_bounded_detour_window', (389, 1556), ('SORT',))",False
36,Z,1,rough,z_destroy_noise_window,z_repair_mode_toggle_contextual,False,,0,780.0121974661425,780.0121974661425,0,0.0,"('Z', 'z_destroy_noise_window', ((0, (8, 9)),), 'z_repair_mode_toggle_contextual', (509, 2655), ('SORT',))",False
37,Y,3,rough,y_destroy_load_skew_release,y_repair_earliest_finish,False,,0,839.0778482139365,839.0778482139365,0,0.0,"('Y', 'y_destroy_load_skew_release', ((1, 1, 0), (6, 1, 1)), 'y_repair_earliest_finish', ((1, 0, 2), (6, 1, 0)))",False
37,Y,1,rough,y_destroy_congested_station_block,y_repair_load_balance,False,,0,788.1978482139365,788.1978482139365,0,0.0,"('Y', 'y_destroy_congested_station_block', ((0, 0, 0), (4, 0, 1)), 'y_repair_load_balance', ((0, 0, 0), (4, 1, 2)))",False
